trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,11,-3.502098860069614,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,14,1.3963018279644703,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,12,12.674251865518507,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,4,-11.772945889275299,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-60.87661322452851,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-78.64106517207645,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,2,-120.83935996769169,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,1,-62.95155286266191,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",25,0,-56.03055061635241,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,-39.173795459253604,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,15,-39.30282667381576,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",35,0,-150.05495925016257,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",30,15,-50.02394127258812,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,0,-123.07913879003203,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,1,-14.885776643869765,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,7,5.184163630970701,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-44.39249173560908,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,11,-9.62968912310508,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-71.35336449734113,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,14,5.636352793004301,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,6,-37.34875302427851,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,7,5.40214296476746,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,12,-15.898318342057658,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,5,-36.24087193774415,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,17,-8.248986097760806,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-26.162193427099876,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-122.5406958516557,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,8,-5.96120297327709,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,11,5.437768219446035,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",35,0,-39.69746010765885,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,13,-27.994461528859603,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-10.552574910776967,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,12,2.508868765221383,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,14,-0.9801752308681488,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,7,2.6244642483823264,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,15,2.842856358772626,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,5,-114.78421233201973,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",1
